animal,group,unit,distance_before,distance_0_50,distance_60_90,velocity_before,velocity_0_50,velocity_60_90
WT_01,WT,mouse,88.74656415241476,329.051062190822,65.97952724691328,979.4736343784213,713.3217390383479,1075.9521823725345
WT_02,WT,mouse,180.4723725236389,190.81457563578232,437.9515509179429,1029.2593550472068,790.834671514129,942.45429661591
WT_03,WT,mouse,195.7185130534405,165.0166529750345,207.2608912643659,878.6551476277181,688.2039245180429,813.2574911081982
WT_04,WT,mouse,286.2537034189833,121.17889789279518,315.3771963076391,930.8391069202556,769.1606748354156,386.1596932140866
WT_05,WT,mouse,321.40648470789347,144.3101446532376,480.0061012120126,1074.432546279337,1036.8763101052823,1033.2348738901378
WT_06,WT,mouse,333.38432205728094,370.5460007744782,,690.7959535686614,523.7728236676728,
WT_07,WT,mouse,269.34322699421654,140.39798962015522,,767.0714845327974,899.2511242098234,
SynC_01,SynC,mouse,381.4979051948394,432.0067516050365,383.9602890011293,1129.5219816150516,716.2203985202461,1507.2184028232302
SynC_02,SynC,mouse,224.92280021403576,515.4089695242658,120.61833030047184,809.0937518784076,441.6419879091831,899.1042350746164
SynC_03,SynC,mouse,195.4674006247957,405.2406285112313,169.63875692486684,946.4678815764828,563.6706735788987,839.8791883157697
SynC_04,SynC,mouse,392.7211388833699,328.72519172371904,191.38703156953133,788.8092563134715,652.4113403828374,949.6297360504916
SynC_05,SynC,mouse,217.77975965377485,498.7748391260848,188.2312310571688,1613.0696884347608,590.6090084271275,948.9854648667008
SynC_06,SynC,mouse,274.4205330610653,403.115792672363,165.65959823757763,840.9894275241791,1120.7181171806094,699.1835358833478
SynC_07,SynC,mouse,313.3462586315072,404.37062141160624,512.7303874438595,912.095722496744,1032.4042897403417,556.8773093198413
SynC_08,SynC,mouse,148.8817830049744,584.1618153321244,128.3084499880942,737.4537132949979,557.8202552427509,976.9322275763508
SynC_09,SynC,mouse,245.86186457555004,347.4687683077004,,1048.5445813132385,538.8624742552082,
