animal,group,unit,distance_before,distance_0_50,distance_60_90,velocity_before,velocity_0_50,velocity_60_90
WT_01,WT,mouse,1168.1333,1323.2911,2567.7912,1598.807,1362.5985,2079.0037
WT_02,WT,mouse,1602.264,1643.7983,2010.5645,1203.7344,1947.6579,1951.6431
WT_03,WT,mouse,1801.1275,1552.4661,3722.6904,1869.1054,998.4452,1495.2891
WT_04,WT,mouse,6825.9184,4475.0917,729.3749,5375.0401,2514.3437,1269.669
WT_05,WT,mouse,4960.5024,661.6315,565.7035,3620.5691,1390.5658,1439.6951
WT_06,WT,mouse,6408.4866,4427.9545,1884.36,5443.7261,2153.1666,1871.9574
WT_07,WT,mouse,5328.8919,2219.5432,997.3908,3483.5128,2046.5621,616.5934
WT_08,WT,mouse,4120.8567,3983.3008,1119.7392,2823.8639,2474.3742,433.9849
SynC_01,SynC,mouse,2557.8027,9632.6442,7087.6446,1309.077,482.5454,1285.2092
SynC_02,SynC,mouse,1748.0599,1437.9079,2782.539,2354.7143,1327.3727,2600.8465
SynC_03,SynC,mouse,1555.9352,11858.6118,3251.3911,1849.5771,2638.6409,3204.7772
SynC_04,SynC,mouse,2439.5454,8297.9372,2450.6497,691.7373,6060.8242,1065.4846
SynC_05,SynC,mouse,7319.633,11185.5876,1903.99,2013.87,4745.829,1270.399
SynC_06,SynC,mouse,1747.1075,9703.5112,3298.0973,1287.2729,1290.3542,4145.0544
SynC_07,SynC,mouse,5977.6637,7104.8704,2821.4341,2241.8737,1611.0793,2287.0022
