panel,source_group,figure_group,source_mouse_label,mouse_id,state_c_time_min,matched_repeat_pair,pair_role
fig.4e,WT+A/C,WT + A/C,Source row 01,,0,no,
fig.4e,WT+A/C,WT + A/C,Source row 02,,0,no,
fig.4e,WT+A/C,WT + A/C,Source row 03,,0,no,
fig.4e,WT+A/C,WT + A/C,Source row 04,,0,no,
fig.4e,WT+A/C,WT + A/C,Source row 05,,0,no,
fig.4e,WT+A/C,WT + A/C,Source row 06,,0,no,
fig.4e,WT+A/C,WT + A/C,Source row 07,,0,no,
fig.4e,WT+A/C,WT + A/C,Source row 08,,0,no,
fig.4e,WT+A/C,WT + A/C,Source row 09,,0,no,
fig.4e,WT+A/C,WT + A/C,Source row 10,,0,no,
fig.4e,WT+A/C,WT + A/C,Source row 11,,0,no,
fig.4e,WT+A/C,WT + A/C,Source row 12,,0,no,
fig.4e,SynC+A/C,SynC@FPC + A/C,z151-1,z151-1,34.8,no,
fig.4e,SynC+A/C,SynC@FPC + A/C,z154-1,z154-1,8.4,no,
fig.4e,SynC+A/C,SynC@FPC + A/C,z156-1,z156-1,0.96,yes,first A/C
fig.4e,SynC+A/C,SynC@FPC + A/C,z156-2,z156-2,22.02,no,
fig.4e,SynC+A/C,SynC@FPC + A/C,z156-3,z156-3,19.8,no,
fig.4e,SynC+A/C,SynC@FPC + A/C,z178-4,z178-4,9.6,yes,first A/C
fig.4e,SynC+A/C,SynC@FPC + A/C,z178-6,z178-6,17.55,yes,first A/C
fig.4e,SynC+A/C,SynC@FPC + A/C,z178-7,z178-7,9,yes,first A/C
fig.4e,SynC+A/C,SynC@FPC + A/C,z179-4,z179-4,3.6,no,
fig.4e,SynC+A/C,SynC@FPC + A/C,z199-1,z199-1,37.2,no,
fig.4e,SynC+A/C,SynC@FPC + A/C,z199-2,z199-2,24.714,no,
fig.4e,SynC+A/C,SynC@FPC + A/C,z199-4,z199-4,6,no,
fig.4e,SynC+A/C,SynC@FPC + A/C,z200-1,z200-1,37.38,no,
fig.4e,SynC+A/C,SynC@FPC + A/C,z200-6,z200-6,16.2,no,
fig.4e,SynC+A/C,SynC@FPC + A/C,z200-7,z200-7,9,no,
fig.4e,SynC+A/C,SynC@FPC + A/C,z200-8,z200-8,22.2,no,
fig.4e,SynC+A/C,SynC@FPC + A/C,z212-1,z212-1,30.96,no,
fig.4e,SynC+A/C,SynC@FPC + A/C,z220-1,z220-1,6,no,
fig.4e,SynC+A/C,SynC@FPC + A/C,z220-2,z220-2,18,no,
fig.4e,SynC+A/C,SynC@FPC + A/C,z227-5,z227-5,21.072,yes,first A/C
fig.4e,SynC+A/C,SynC@FPC + A/C,z227-6,z227-6,25.998,no,
fig.4e,SynC+A/C,SynC@FPC + A/C,z227-7,z227-7,22.56,no,
fig.4e,SynC+A/C,SynC@FPC + A/C,z229-1,z229-1,28.62,yes,first A/C
fig.4e,SynC+A/C,SynC@FPC + A/C,z229-2,z229-2,42.78,no,
fig.4e,SynC+A/C,SynC@FPC + A/C,z229-4,z229-4,3,yes,first A/C
fig.4e,SynC+A/C,SynC@FPC + A/C,z244-2,z244-2,4.416,no,
fig.4e,SynC+A/C,SynC@FPC + A/C,z244-6,z244-6,35.94,no,
fig.4e,SynC+A/C,SynC@FPC + A/C,z248-1,z248-1,24.288,no,
fig.4e,SynC+A/C,SynC@FPC + A/C,z248-2,z248-2,2.088,no,
fig.4e,SynC_no_A/C,SynC@FPC - A/C,Source row 01,,0,no,
fig.4e,SynC_no_A/C,SynC@FPC - A/C,Source row 02,,0,no,
fig.4e,SynC_no_A/C,SynC@FPC - A/C,Source row 03,,0,no,
fig.4e,SynC_no_A/C,SynC@FPC - A/C,Source row 04,,0,no,
fig.4e,SynC_no_A/C,SynC@FPC - A/C,Source row 05,,0,no,
fig.4e,SynC_no_A/C,SynC@FPC - A/C,Source row 06,,0,no,
fig.4e,SynC_no_A/C,SynC@FPC - A/C,Source row 07,,0,no,
fig.4e,SynC_no_A/C,SynC@FPC - A/C,Source row 08,,0,no,
fig.4e,SynC_no_A/C,SynC@FPC - A/C,Source row 09,,0,no,
fig.4e,SynC_no_A/C,SynC@FPC - A/C,Source row 10,,0,no,
fig.4e,SynC_no_A/C,SynC@FPC - A/C,Source row 11,,0,no,
fig.4e,SynC_no_A/C,SynC@FPC - A/C,Source row 12,,0,no,
fig.4e,SynC_no_A/C,SynC@FPC - A/C,Source row 13,,0,no,
fig.4e,SynC_no_A/C,SynC@FPC - A/C,Source row 14,,0,no,
fig.4e,SynC_no_A/C,SynC@FPC - A/C,Source row 15,,0,no,
fig.4e,SynC_no_A/C,SynC@FPC - A/C,Source row 16,,0,no,
fig.4e,SynC_no_A/C,SynC@FPC - A/C,Source row 17,,0,no,
fig.4e,SynC_no_A/C,SynC@FPC - A/C,Source row 18,,0,no,
fig.4e,SynC_no_A/C,SynC@FPC - A/C,Source row 19,,0,no,
fig.4e,SynC_no_A/C,SynC@FPC - A/C,Source row 20,,0,no,
fig.4e,SynC_no_A/C,SynC@FPC - A/C,Source row 21,,0,no,
fig.4e,SynC_no_A/C,SynC@FPC - A/C,Source row 22,,0,no,
fig.4e,SynC_no_A/C,SynC@FPC - A/C,Source row 23,,0,no,
fig.4e,SynC_no_A/C,SynC@FPC - A/C,Source row 24,,0,no,
fig.4e,SynC_no_A/C,SynC@FPC - A/C,Source row 25,,0,no,
fig.4e,SynC_no_A/C,SynC@FPC - A/C,Source row 26,,0,no,
fig.4e,SynC_no_A/C,SynC@FPC - A/C,Source row 27,,0,no,
fig.4e,SynC_no_A/C,SynC@FPC - A/C,Source row 28,,0,no,
fig.4e,SynC_no_A/C,SynC@FPC - A/C,Source row 29,,0,no,
fig.4e,dGAP+A/C,dGAP@FPC + A/C,Source row 01,,0,no,
fig.4e,dGAP+A/C,dGAP@FPC + A/C,Source row 02,,0,no,
fig.4e,dGAP+A/C,dGAP@FPC + A/C,Source row 03,,0,no,
fig.4e,dGAP+A/C,dGAP@FPC + A/C,Source row 04,,0,no,
fig.4e,dGAP+A/C,dGAP@FPC + A/C,Source row 05,,0,no,
fig.4e,dGAP+A/C,dGAP@FPC + A/C,Source row 06,,0,no,
fig.4e,dGAP+A/C,dGAP@FPC + A/C,Source row 07,,0,no,
fig.4e,dGAP+A/C,dGAP@FPC + A/C,Source row 08,,0,no,
fig.4e,dGAP+A/C,dGAP@FPC + A/C,Source row 09,,0,no,
fig.4e,dGAP+A/C,dGAP@FPC + A/C,Source row 10,,0,no,
fig.4e,dGAP+A/C,dGAP@FPC + A/C,Source row 11,,0,no,
fig.4e,FKBP-GAP@FPC,FKBP-GAP + A/C,Source row 01,,0,no,
fig.4e,FKBP-GAP@FPC,FKBP-GAP + A/C,Source row 02,,0,no,
fig.4e,FKBP-GAP@FPC,FKBP-GAP + A/C,Source row 03,,0,no,
fig.4e,FKBP-GAP@FPC,FKBP-GAP + A/C,Source row 04,,0,no,
fig.4e,FKBP-GAP@FPC,FKBP-GAP + A/C,Source row 05,,0,no,
fig.4e,FKBP-GAP@FPC,FKBP-GAP + A/C,Source row 06,,0,no,
fig.4e,FKBP-GAP@FPC,FKBP-GAP + A/C,Source row 07,,0,no,
fig.4e,FKBP-GAP@FPC,FKBP-GAP + A/C,Source row 08,,0,no,
fig.4e,SynC@M1,SynC@M1 + A/C,Source row 01,,0,no,
fig.4e,SynC@M1,SynC@M1 + A/C,Source row 02,,0,no,
fig.4e,SynC@M1,SynC@M1 + A/C,Source row 03,,0,no,
fig.4e,SynC@M1,SynC@M1 + A/C,Source row 04,,0,no,
fig.4e,SynC@M1,SynC@M1 + A/C,Source row 05,,0,no,
fig.4e,SynC@M1,SynC@M1 + A/C,Source row 06,,0,no,
fig.4e,SynC@M1,SynC@M1 + A/C,Source row 07,,0,no,
fig.4e,SynC@M1,SynC@M1 + A/C,Source row 08,,0,no,
fig.4e,SynC@M1,SynC@M1 + A/C,Source row 09,,0,no,
fig.4e,SynC@M1,SynC@M1 + A/C,Source row 10,,0,no,
fig.4e,SynC@M1,SynC@M1 + A/C,Source row 11,,0,no,
fig.4e,SynC@M1,SynC@M1 + A/C,Source row 12,,0,no,
fig.4e,SynC@M1,SynC@M1 + A/C,Source row 13,,0,no,
fig.4e,SynC@M1,SynC@M1 + A/C,Source row 14,,0,no,
fig.4e,SynC+A/C_2nd,SynC@FPC A/C 2nd,z156-1_2nd,z156-1,10.2,yes,second A/C
fig.4e,SynC+A/C_2nd,SynC@FPC A/C 2nd,z178-4_2nd,z178-4,25.236,yes,second A/C
fig.4e,SynC+A/C_2nd,SynC@FPC A/C 2nd,z178-6_2nd,z178-6,5.88,yes,second A/C
fig.4e,SynC+A/C_2nd,SynC@FPC A/C 2nd,z178-7_2nd,z178-7,29.916,yes,second A/C
fig.4e,SynC+A/C_2nd,SynC@FPC A/C 2nd,z227-5_2nd,z227-5,6.732,yes,second A/C
fig.4e,SynC+A/C_2nd,SynC@FPC A/C 2nd,z229-1_2nd,z229-1,38.55,yes,second A/C
fig.4e,SynC+A/C_2nd,SynC@FPC A/C 2nd,z229-4_2nd,z229-4,30.384,yes,second A/C
