animal,group,unit,0-10 min,10-30 min,50-70 min,70-90 min
WT01,WT,percent,0,0,0,0
WT02,WT,percent,0,0,0,0
WT03,WT,percent,0,0,0,0
WT04,WT,percent,0,0,0,0
WT05,WT,percent,0,0,0,0
WT06,WT,percent,0,0,0,0
WT07,WT,percent,0,0,0,0
WT08,WT,percent,0,0,0,0
WT09,WT,percent,0,0,0,0
SynC01,SynC,percent,17.0952,21.00891667,40.29942,13.81862
SynC02,SynC,percent,13.80186,23.19065,60.70745,0
SynC03,SynC,percent,44.30506,0,0,0
SynC04,SynC,percent,67.11688,71.82744,0,0
SynC05,SynC,percent,16.31586,21.65811,28.27685,0
SynC06,SynC,percent,41.34692,37.036045,30.00732,0
SynC07,SynC,percent,0,13.58817,42.70721,16.34938
SynC08,SynC,percent,0,27.79865,0,0
