,left_ear,left_ear,left_ear,right_ear,right_ear,right_ear,snout,snout,snout,centroid,centroid,centroid,left_lateral,left_lateral,left_lateral,right_lateral,right_lateral,right_lateral,tail_base,tail_base,tail_base,head_center,head_center,body_center,body_center,time
,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,x,y,
0,324.2,211.1,1.0,296.0,210.8,1.0,317.2,247.1,1.0,314.0,177.0,1.0,338.8,178.9,0.9985,286.2,173.2,1.0,292.8,140.2,1.0,312.2,223.0,308.0,167.2,2025-04-30 09:31:41.118886656+09:00
1,330.0,209.1,1.0,301.0,208.9,1.0,320.8,249.9,1.0,315.0,174.5,1.0,336.8,172.4,1.0,291.5,175.8,1.0,294.5,141.4,1.0,317.2,222.6,309.5,166.1,2025-04-30 09:31:41.169831168+09:00
2,332.0,208.0,1.0,302.8,209.6,1.0,325.8,247.6,1.0,315.0,177.2,1.0,337.5,170.5,1.0,292.5,176.8,1.0,295.0,138.5,1.0,320.2,221.6,310.0,165.8,2025-04-30 09:31:41.241949184+09:00
3,333.2,205.0,1.0,301.8,205.4,1.0,330.0,247.2,1.0,312.2,174.8,1.0,339.5,170.6,1.0,291.0,176.8,1.0,292.5,139.2,1.0,321.8,219.4,309.0,165.2,2025-04-30 09:31:41.269705216+09:00
4,327.5,197.4,1.0,293.2,198.2,1.0,337.8,232.8,0.9985,311.5,169.8,1.0,336.8,166.1,1.0,288.0,166.1,1.0,292.2,138.0,1.0,319.8,209.4,307.0,160.0,2025-04-30 09:31:41.319779072+09:00
5,330.8,184.2,1.0,299.8,203.0,1.0,341.5,232.2,1.0,312.0,165.9,1.0,336.2,160.1,1.0,286.2,173.4,1.0,291.8,141.4,1.0,324.0,206.5,306.5,160.2,2025-04-30 09:31:41.369949952+09:00
6,330.5,191.5,0.9966,300.0,195.2,0.9995,344.0,226.2,1.0,309.0,168.4,1.0,334.5,162.1,1.0,286.0,165.2,0.9985,293.0,132.4,1.0,324.8,204.4,305.5,157.0,2025-04-30 09:31:41.421721344+09:00
7,330.2,188.9,0.9966,301.0,193.6,0.9995,344.0,224.2,1.0,310.5,166.8,1.0,337.0,161.9,1.0,287.5,169.2,1.0,292.8,139.4,1.0,325.0,202.4,307.0,159.2,2025-04-30 09:31:41.470142720+09:00
8,330.5,185.4,0.993,301.5,193.2,1.0,342.8,222.9,1.0,307.8,164.4,1.0,332.0,162.9,1.0,284.2,165.0,1.0,294.8,138.8,0.9976,325.0,200.5,304.8,157.8,2025-04-30 09:31:41.522346496+09:00
9,332.2,189.2,0.976,298.2,195.8,0.9946,343.0,221.1,1.0,309.5,167.1,1.0,333.8,163.5,1.0,284.2,170.8,1.0,295.5,136.4,1.0,324.5,202.0,305.5,159.4,2025-04-30 09:31:41.570999296+09:00
10,332.8,186.5,0.998,301.2,199.9,1.0,342.5,220.8,1.0,309.0,165.1,1.0,332.8,158.4,1.0,282.8,168.8,1.0,292.8,139.0,0.998,325.5,202.4,304.5,157.8,2025-04-30 09:31:41.620999680+09:00
11,335.2,187.8,0.992,300.5,202.1,0.9985,342.2,219.1,1.0,308.2,166.1,1.0,332.5,159.6,1.0,283.8,166.4,1.0,297.0,136.8,0.8193,326.0,203.0,305.5,157.2,2025-04-30 09:31:41.673136896+09:00
12,333.5,187.2,0.9976,300.5,203.6,1.0,341.8,219.6,1.0,308.8,166.2,1.0,332.5,158.5,1.0,283.2,169.5,1.0,301.5,134.5,0.9824,325.2,203.5,306.5,157.2,2025-04-30 09:31:41.723244288+09:00
13,332.0,190.1,0.988,314.0,188.9,0.888,343.5,219.5,1.0,308.0,170.6,1.0,331.5,157.8,1.0,286.8,167.4,0.9976,291.0,139.1,0.996,329.8,199.5,304.2,158.8,2025-04-30 09:31:41.773508608+09:00
14,313.8,195.4,0.9136,327.8,174.1,0.9307,345.2,221.5,1.0,303.8,169.1,1.0,328.5,166.4,0.995,285.5,164.0,0.999,296.5,137.9,0.971,329.0,197.0,303.5,159.4,2025-04-30 09:31:41.821999104+09:00
15,329.2,178.0,0.9976,305.2,193.9,0.995,342.0,214.5,0.98,306.2,164.1,1.0,331.2,156.2,0.998,283.8,166.4,1.0,295.5,138.5,0.992,325.5,195.5,304.0,156.4,2025-04-30 09:31:41.873732864+09:00
16,336.2,189.0,0.9785,293.8,188.8,0.995,348.2,216.6,1.0,306.0,166.2,1.0,331.5,161.0,1.0,282.2,161.2,1.0,299.0,137.2,0.9966,326.0,198.1,304.8,156.5,2025-04-30 09:31:41.922925568+09:00
17,334.2,174.9,1.0,294.5,187.5,0.9995,352.5,209.0,1.0,309.8,164.6,1.0,327.0,147.9,1.0,284.2,168.4,1.0,294.5,140.6,1.0,327.2,190.5,304.0,155.4,2025-04-30 09:31:41.974510336+09:00
18,323.2,162.6,1.0,313.0,196.2,0.992,345.5,187.8,0.981,308.2,156.6,1.0,321.0,145.0,1.0,282.8,165.8,0.9995,290.5,142.6,0.999,327.2,182.4,300.5,152.5,2025-04-30 09:31:42.022678784+09:00
19,302.8,144.8,0.9077,301.8,196.1,0.979,359.8,197.6,0.9956,305.5,167.0,1.0,321.5,146.8,0.877,283.5,163.1,0.909,290.5,141.1,0.04803,321.2,179.5,300.2,154.5,2025-04-30 09:31:42.074377728+09:00
20,323.8,165.4,0.9507,310.8,195.1,0.1896,353.8,186.5,0.99,310.8,165.1,1.0,321.8,148.4,0.7417,294.5,170.0,0.4392,290.8,139.8,0.407,329.2,182.4,304.5,155.8,2025-04-30 09:31:42.124861184+09:00
21,323.2,167.1,0.986,320.0,194.1,0.727,351.8,184.0,0.9966,312.5,164.8,1.0,322.2,150.1,0.9766,305.8,176.9,0.837,290.8,138.2,0.6377,331.8,181.6,308.0,157.5,2025-04-30 09:31:42.174156800+09:00
22,330.8,165.4,0.9727,329.0,193.1,1.0,361.0,193.8,1.0,308.5,166.1,1.0,321.8,150.0,0.748,316.8,183.8,0.9375,291.0,136.9,0.05603,340.2,184.0,309.5,159.1,2025-04-30 09:31:42.224697344+09:00
23,321.5,156.8,0.95,318.2,151.2,0.995,346.5,175.6,0.9756,307.0,165.5,1.0,321.2,150.0,0.7773,311.2,184.9,0.7295,291.0,135.4,0.9004,328.8,161.1,307.5,159.0,2025-04-30 09:31:42.274023424+09:00
24,324.8,159.1,0.5063,320.5,149.8,0.975,352.0,182.5,0.002625,304.5,168.1,1.0,320.8,149.9,0.0917,305.8,186.0,0.671,296.8,136.4,0.964,332.2,163.9,307.0,160.1,2025-04-30 09:31:42.324265216+09:00
25,328.0,161.5,0.902,325.8,186.9,0.9937,357.5,189.2,1.0,308.2,165.9,1.0,320.2,149.8,0.9834,300.2,187.1,0.9756,294.8,138.2,0.965,337.2,179.4,306.0,160.2,2025-04-30 09:31:42.375126784+09:00
26,315.0,151.8,0.85,321.8,147.9,1.0,358.8,191.6,1.0,308.2,171.9,1.0,290.0,166.9,0.9897,309.0,188.5,0.777,295.8,135.2,0.577,332.0,163.6,300.8,165.5,2025-04-30 09:31:42.425348864+09:00
27,301.8,141.9,0.9565,319.0,145.5,1.0,356.5,187.8,0.9995,308.2,170.1,1.0,289.8,165.6,0.9976,317.8,189.9,0.9897,297.0,132.4,0.3564,325.8,158.4,303.2,164.5,2025-04-30 09:31:42.476014336+09:00
28,330.0,160.5,0.9946,328.5,186.6,0.994,359.5,189.1,1.0,309.5,166.6,1.0,320.5,146.4,0.929,315.0,188.2,0.986,298.0,129.5,0.826,339.2,178.6,310.8,157.8,2025-04-30 09:31:42.526129664+09:00
29,319.8,155.2,0.8394,322.5,148.4,0.9536,362.5,193.5,1.0,309.2,164.9,0.999,322.2,146.8,0.7925,322.0,188.1,0.9253,299.0,126.5,0.992,334.8,165.6,313.0,156.5,2025-04-30 09:31:42.577168384+09:00
30,309.8,150.0,0.7915,319.0,143.8,0.876,363.0,188.6,0.9985,311.0,164.9,0.995,324.0,147.0,0.9165,311.5,182.4,0.811,296.0,130.2,0.9873,330.8,160.9,310.5,156.2,2025-04-30 09:31:42.626663424+09:00
31,299.5,144.8,0.9873,315.8,139.1,0.959,366.5,190.0,1.0,315.2,166.2,1.0,327.0,148.5,0.9805,300.8,176.5,0.555,293.5,128.4,0.4932,327.2,158.0,309.0,154.9,2025-04-30 09:31:42.677467392+09:00
32,296.2,152.1,0.9956,304.0,200.6,1.0,365.2,189.5,1.0,310.8,167.2,1.0,324.8,147.0,0.997,290.2,170.8,0.999,291.0,126.44,0.9995,321.8,180.6,304.2,152.9,2025-04-30 09:31:42.726477056+09:00
