,left_ear,left_ear,left_ear,right_ear,right_ear,right_ear,snout,snout,snout,centroid,centroid,centroid,left_lateral,left_lateral,left_lateral,right_lateral,right_lateral,right_lateral,tail_base,tail_base,tail_base,head_center,head_center,body_center,body_center,time
,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,x,y,
0,128.4,233.6,1.0,150.1,225.9,0.9873,206.8,208.6,1.0,140.8,243.8,1.0,122.56,238.2,0.973,163.1,239.2,1.0,129.9,265.0,1.0,161.8,222.6,139.1,246.5,2025-05-07 09:13:39.393125632+09:00
1,132.2,229.1,0.9985,179.5,221.8,0.989,203.1,210.9,1.0,143.0,240.9,1.0,124.3,240.2,0.875,163.8,242.8,1.0,130.8,266.0,1.0,171.6,220.6,140.5,247.5,2025-05-07 09:13:39.442742784+09:00
2,130.9,230.1,0.9966,150.0,227.5,0.982,202.1,211.0,0.9995,143.1,242.8,1.0,126.06,242.4,0.987,164.6,242.1,1.0,131.1,266.8,1.0,161.0,222.9,141.2,248.5,2025-05-07 09:13:39.510238208+09:00
3,135.5,227.6,0.986,147.6,228.8,0.9595,199.8,209.9,0.997,145.2,240.6,1.0,127.25,243.0,0.9814,164.8,243.2,1.0,131.4,266.8,1.0,160.9,222.1,142.1,248.5,2025-05-07 09:13:39.543224064+09:00
4,130.9,232.8,0.998,180.8,217.4,0.9727,205.4,207.9,1.0,145.0,239.8,1.0,129.4,245.1,0.9917,163.9,243.0,1.0,130.9,267.5,1.0,172.4,219.4,142.4,248.9,2025-05-07 09:13:39.594933504+09:00
5,130.9,231.5,0.999,153.2,226.2,0.988,205.2,208.8,1.0,144.8,242.5,1.0,128.6,245.2,0.9893,163.8,242.5,1.0,130.9,267.5,1.0,163.1,222.1,142.0,249.4,2025-05-07 09:13:39.644045312+09:00
6,131.4,229.2,0.9985,178.4,216.9,0.915,204.9,209.5,1.0,144.0,242.1,1.0,125.5,239.9,0.998,163.6,242.6,1.0,131.6,265.8,1.0,171.5,218.5,141.1,247.5,2025-05-07 09:13:39.695120128+09:00
7,131.9,227.2,0.9795,179.5,219.0,0.6484,203.4,210.4,1.0,144.1,240.1,1.0,126.3,242.1,0.983,164.5,243.1,1.0,129.6,267.2,1.0,171.6,218.9,141.1,248.2,2025-05-07 09:13:39.744643840+09:00
8,134.9,227.2,0.9995,180.6,221.2,0.9746,204.1,210.5,1.0,143.9,242.4,1.0,124.4,237.4,0.957,166.2,242.0,1.0,131.0,266.0,1.0,173.1,219.6,141.4,247.0,2025-05-07 09:13:39.795142912+09:00
